Date,f23_DryLake_Snow Water Equivalent (in) Start of Day Values,f23_DryLake_Snow Water Equivalent (in) Start of Day Values,f23_DryLake_Precipitation Accumulation (in) Start of Day Values,f23_DryLake_Precipitation Increment (in)
5/27/2014,0,0,34.2,0.1
5/28/2014,0,0,34.3,0
5/29/2014,0,0,34.3,0
5/30/2014,0,0,34.3,0
5/31/2014,0,0,34.3,0
6/1/2014,0,0,34.3,0
6/2/2014,0,0,34.3,0
6/3/2014,0,0,34.3,0
6/4/2014,0,0,34.3,0
6/5/2014,0,0,34.3,0
6/6/2014,0,0,34.3,0
6/7/2014,0,0,34.3,0
6/8/2014,0,0,34.3,0
6/9/2014,0,0,34.3,0
6/10/2014,0,0,34.3,0
6/11/2014,0,0,34.3,0
6/12/2014,0,0,34.3,0
6/13/2014,0,0,34.3,0
6/14/2014,0,0,34.3,0
6/15/2014,0,0,34.3,0
6/16/2014,0,0,34.3,0
6/17/2014,0,0,34.3,0
6/18/2014,0,0,34.3,0
6/19/2014,0,0,34.3,0
6/20/2014,0,0,34.3,0
6/21/2014,0,0,34.3,0
6/22/2014,0,0,34.3,0
6/23/2014,0,0,34.3,0
6/24/2014,0,0,34.3,0
6/25/2014,0,0,34.3,0
6/26/2014,0,0,34.3,0
6/27/2014,0,0,34.3,0
6/28/2014,0,0,34.3,0
6/29/2014,0,0,34.3,0
6/30/2014,0,0,34.3,0
7/1/2014,0,0,34.3,0
7/2/2014,0,0,34.3,0
7/3/2014,0,0,34.3,0
7/4/2014,0,0,34.3,0
7/5/2014,0,0,34.3,0
7/6/2014,0,0,34.3,0
7/7/2014,0,0,34.3,0
7/8/2014,0,0,34.3,0
7/9/2014,0,0,34.3,0
7/10/2014,0,0,34.3,0
7/11/2014,0,0,34.3,0.2
7/12/2014,0,0,34.5,0.2
7/13/2014,0,0,34.7,0
7/14/2014,0,0,34.7,0
7/15/2014,0,0,34.7,0
7/16/2014,0,0,34.7,0.1
7/17/2014,0,0,34.8,0.1
7/18/2014,0,0,34.9,0
7/19/2014,0,0,34.9,0
7/20/2014,0,0,34.9,0
7/21/2014,0,0,34.9,0
7/22/2014,0,0,34.9,0
7/23/2014,0,0,34.9,0
7/24/2014,0,0,34.9,0
7/25/2014,0,0,34.9,0
7/26/2014,0,0,34.9,0
7/27/2014,0,0,34.9,0
7/28/2014,0,0,34.9,0
7/29/2014,0,0,34.9,0.3
7/30/2014,0,0,35.2,1.5
7/31/2014,0,0,36.7,0.1
8/1/2014,0,0,36.8,0.2
8/2/2014,0,0,37,0
8/3/2014,0,0,37,0
8/4/2014,0,0,37,0
8/5/2014,0,0,37,0.1
8/6/2014,0,0,37.1,0.1
8/7/2014,0,0,37.2,0
8/8/2014,0,0,37.2,0.1
8/9/2014,0,0,37.3,0
8/10/2014,0,0,37.3,0
8/11/2014,0,0,37.3,0
8/12/2014,0,0,37.3,0
8/13/2014,0,0,37.3,0.1
8/14/2014,0,0,37.4,0
8/15/2014,0,0,37.4,0.1
8/16/2014,0,0,37.5,0.1
8/17/2014,0,0,37.6,0
8/18/2014,0,0,37.6,0
8/19/2014,0,0,37.6,0
8/20/2014,0,0,37.6,0.2
8/21/2014,0,0,37.8,0.2
8/22/2014,0,0,38,0
8/23/2014,0,0,38,0.5
8/24/2014,0,0,38.5,0.2
8/25/2014,0,0,38.7,0.2
8/26/2014,0,0,38.9,0.2
8/27/2014,0,0,39.1,0.7
8/28/2014,0,0,39.8,0.8
8/29/2014,0,0,40.6,0
8/30/2014,0,0,40.6,0
8/31/2014,0,0,40.6,0.3
9/1/2014,0,0,40.9,0
9/2/2014,0,0,40.9,0
9/3/2014,0,0,40.9,0
9/4/2014,0,0,40.9,0
9/5/2014,0,0,40.9,0.1
9/6/2014,0,0,41,0
9/7/2014,0,0,41,0
9/8/2014,0,0,41,0.1
9/9/2014,0,0,41.1,1.1
9/10/2014,0,0,42.2,0
9/11/2014,0,0,42.2,0
9/12/2014,0,0,42.2,0
9/13/2014,0,0,42.2,0
9/14/2014,0,0,42.2,0
9/15/2014,0,0,42.2,0
9/16/2014,0,0,42.2,0
9/17/2014,0,0,42.2,0
9/18/2014,0,0,42.2,0
9/19/2014,0,0,42.2,0
9/20/2014,0,0,42.2,0
9/21/2014,0,0,42.2,0
9/22/2014,0,0,42.2,0.1
9/23/2014,0,0,42.3,0
9/24/2014,0,0,42.3,0
9/25/2014,0,0,42.3,0
9/26/2014,0,0,42.3,0
9/27/2014,0,0,42.3,0
9/28/2014,0,0,42.3,0.3
9/29/2014,0,0,42.6,0.7
9/30/2014,0,0,43.3,0.4
10/1/2014,0,0,0,0.6
10/2/2014,0,0,0.6,0
10/3/2014,0,0,0.6,0.1
10/4/2014,0,0,0.7,0
10/5/2014,0,0,0.7,0.1
10/6/2014,0,0,0.8,0
10/7/2014,0,0,0.8,0.1
10/8/2014,0,0,0.9,0
10/9/2014,0,0,0.9,0
10/10/2014,0,0,0.9,0
10/11/2014,0,0,0.9,0
10/12/2014,0,0,0.9,0
10/13/2014,0,0,0.9,0.1
10/14/2014,0,0,1,0.1
10/15/2014,0,0,1.1,0.2
10/16/2014,0,0,1.3,0
10/17/2014,0,0,1.3,0
10/18/2014,0,0,1.3,0
10/19/2014,0,0,1.3,0
10/20/2014,0,0,1.3,0
10/21/2014,0,0,1.3,0
10/22/2014,0,0,1.3,0
10/23/2014,0,0,1.3,0
10/24/2014,0,0,1.3,0
10/25/2014,0,0,1.3,0
10/26/2014,0,0.2,1.3,0.2
10/27/2014,0.2,-0.1,1.5,0.3
10/28/2014,0.1,-0.1,1.8,0
10/29/2014,0,0,1.8,0.1
10/30/2014,0,0,1.9,0
10/31/2014,0,0,1.9,0.1
11/1/2014,0,0,2,0.2
11/2/2014,0,0.6,2.2,0.2
11/3/2014,0.6,0.3,2.4,0.4
11/4/2014,0.9,0,2.8,0
11/5/2014,0.9,0,2.8,0.1
11/6/2014,0.9,0,2.9,0
11/7/2014,0.9,0,2.9,0
11/8/2014,0.9,0,2.9,0
11/9/2014,0.9,0,2.9,0
11/10/2014,0.9,0.5,2.9,0.3
11/11/2014,1.4,0,3.2,0
11/12/2014,1.4,0.2,3.2,0
11/13/2014,1.6,0.2,3.2,0.6
11/14/2014,1.8,0.2,3.8,0.1
11/15/2014,2,0.6,3.9,0.3
11/16/2014,2.6,0,4.2,0.1
11/17/2014,2.6,0,4.3,0
11/18/2014,2.6,0,4.3,0.1
11/19/2014,2.6,0,4.4,0
11/20/2014,2.6,0,4.4,0.1
11/21/2014,2.6,0,4.5,0
11/22/2014,2.6,0.7,4.5,0.4
11/23/2014,3.3,0.7,4.9,0.6
11/24/2014,4,0.5,5.5,0.6
11/25/2014,4.5,0.6,6.1,0.6
11/26/2014,5.1,0.1,6.7,0.2
11/27/2014,5.2,0,6.9,0.1
11/28/2014,5.2,0,7,0
11/29/2014,5.2,-0.1,7,0
11/30/2014,5.1,-0.1,7,0
12/1/2014,5,0,7,0
12/2/2014,5,0,7,0
12/3/2014,5,0,7,0
12/4/2014,5,0,7,0
12/5/2014,5,0,7,0
12/6/2014,5,0,7,0
12/7/2014,5,0,7,0
12/8/2014,5,0,7,0
12/9/2014,5,0,7,0
12/10/2014,5,0,7,0
12/11/2014,5,0,7,0
12/12/2014,5,0.1,7,0
12/13/2014,5.1,0.2,7,0.1
12/14/2014,5.3,0.9,7.1,0.9
12/15/2014,6.2,0.3,8,0.2
12/16/2014,6.5,0.1,8.2,0.3
12/17/2014,6.6,0,8.5,0
12/18/2014,6.6,0.1,8.5,0
12/19/2014,6.7,0,8.5,0.1
12/20/2014,6.7,0.2,8.6,0.1
12/21/2014,6.9,1.2,8.7,1.2
12/22/2014,8.1,0.3,9.9,0.3
12/23/2014,8.4,0.1,10.2,0
12/24/2014,8.5,0,10.2,0.2
12/25/2014,8.5,0.4,10.4,0.2
12/26/2014,8.9,0.1,10.6,0.2
12/27/2014,9,0.1,10.8,0
12/28/2014,9.1,0.4,10.8,0.4
12/29/2014,9.5,0,11.2,0
12/30/2014,9.5,0,11.2,0
12/31/2014,9.5,0,11.2,0
1/1/2015,9.5,0,11.2,0.1
1/2/2015,9.5,0,11.3,0
1/3/2015,9.5,0.1,11.3,0.1
1/4/2015,9.6,0,11.4,0.1
1/5/2015,9.6,0.1,11.5,0.1
1/6/2015,9.7,0,11.6,0
1/7/2015,9.7,0.1,11.6,0
1/8/2015,9.8,0,11.6,0
1/9/2015,9.8,0,11.6,0
1/10/2015,9.8,0.1,11.6,0.1
1/11/2015,9.9,0.3,11.7,0.2
1/12/2015,10.2,0,11.9,0
1/13/2015,10.2,0,11.9,0
1/14/2015,10.2,0,11.9,0
1/15/2015,10.2,0,11.9,0
1/16/2015,10.2,0,11.9,0.1
1/17/2015,10.2,0,12,0
1/18/2015,10.2,0,12,0
1/19/2015,10.2,0.1,12,0.1
1/20/2015,10.3,0,12.1,0
1/21/2015,10.3,0,12.1,0
1/22/2015,10.3,0,12.1,0
1/23/2015,10.3,0.1,12.1,0.1
1/24/2015,10.4,0.1,12.2,0.1
1/25/2015,10.5,0,12.3,0
1/26/2015,10.5,0,12.3,0
1/27/2015,10.5,0,12.3,0
1/28/2015,10.5,0,12.3,0
1/29/2015,10.5,0,12.3,0
1/30/2015,10.5,0.2,12.3,0
1/31/2015,10.7,0.2,12.3,0.1
2/1/2015,10.9,0,12.4,0
2/2/2015,10.9,0.4,12.4,0.3
2/3/2015,11.3,0.3,12.7,0.4
2/4/2015,11.6,1.1,13.1,1
2/5/2015,12.7,0,14.1,0.1
2/6/2015,12.7,0,14.2,0
2/7/2015,12.7,0,14.2,0
2/8/2015,12.7,0,14.2,0
2/9/2015,12.7,0,14.2,0
2/10/2015,12.7,0.3,14.2,0.3
2/11/2015,13,0.1,14.5,0.1
2/12/2015,13.1,0,14.6,0
2/13/2015,13.1,0,14.6,0.1
2/14/2015,13.1,-0.1,14.7,0
2/15/2015,13,0,14.7,0
2/16/2015,13,0.1,14.7,0
2/17/2015,13.1,0.1,14.7,0.1
2/18/2015,13.2,0,14.8,0
2/19/2015,13.2,0,14.8,0.1
2/20/2015,13.2,0.6,14.9,0.5
2/21/2015,13.8,0.5,15.4,0.5
2/22/2015,14.3,0.1,15.9,0.1
2/23/2015,14.4,0.1,16,0
2/24/2015,14.5,0,16,0.1
2/25/2015,14.5,0.3,16.1,0.1
2/26/2015,14.8,0.1,16.2,0.1
2/27/2015,14.9,0,16.3,0.1
2/28/2015,14.9,0,16.4,0.1
3/1/2015,14.9,0.3,16.5,0.3
3/2/2015,15.2,0.5,16.8,0.3
3/3/2015,15.7,0.4,17.1,0.4
3/4/2015,16.1,0.2,17.5,0.1
3/5/2015,16.3,0,17.6,0.1
3/6/2015,16.3,0.1,17.7,0.1
3/7/2015,16.4,0,17.8,0
3/8/2015,16.4,0,17.8,0
3/9/2015,16.4,0,17.8,0
3/10/2015,16.4,0,17.8,0
3/11/2015,16.4,0,17.8,0
3/12/2015,16.4,-0.1,17.8,0
3/13/2015,16.3,0,17.8,0
3/14/2015,16.3,-0.3,17.8,0
3/15/2015,16,-0.3,17.8,0
3/16/2015,15.7,-0.4,17.8,0
3/17/2015,15.3,-0.6,17.8,0
3/18/2015,14.7,-0.4,17.8,0
3/19/2015,14.3,0,17.8,0
3/20/2015,14.3,0,17.8,0
3/21/2015,14.3,0,17.8,0
3/22/2015,14.3,-1.1,17.8,0
3/23/2015,13.2,-0.3,17.8,0.1
3/24/2015,12.9,0.4,17.9,0.3
3/25/2015,13.3,0.5,18.2,0.4
3/26/2015,13.8,0,18.6,0.2
3/27/2015,13.8,-0.4,18.8,0
3/28/2015,13.4,-0.7,18.8,0
3/29/2015,12.7,-0.6,18.8,0
3/30/2015,12.1,-0.5,18.8,0
3/31/2015,11.6,-0.5,18.8,0
4/1/2015,11.1,0,18.8,0
4/2/2015,11.1,-0.4,18.8,0
4/3/2015,10.7,0.4,18.8,0
4/4/2015,11.1,0,18.8,0
4/5/2015,11.1,-0.6,18.8,0.1
4/6/2015,10.5,-0.6,18.9,0
4/7/2015,9.9,-0.5,18.9,0
4/8/2015,9.4,-0.4,18.9,0
4/9/2015,9,0.7,18.9,0.3
4/10/2015,9.7,-0.2,19.2,0
4/11/2015,9.5,-0.6,19.2,0
4/12/2015,8.9,-0.3,19.2,0
4/13/2015,8.6,-0.9,19.2,0.1
4/14/2015,7.7,-0.9,19.3,0
4/15/2015,6.8,0.1,19.3,0.1
4/16/2015,6.9,-0.3,19.4,0.1
4/17/2015,6.6,-0.3,19.5,0
4/18/2015,6.3,0.5,19.5,0.6
4/19/2015,6.8,0,20.1,0.1
4/20/2015,6.8,0.3,20.2,0
4/21/2015,7.1,-1.1,20.2,0.1
4/22/2015,6,-0.7,20.3,0
4/23/2015,5.3,-0.9,20.3,0
4/24/2015,4.4,-0.7,20.3,0
4/25/2015,3.7,0,20.3,0.2
4/26/2015,3.7,-0.4,20.5,0.1
4/27/2015,3.3,-0.7,20.6,0
4/28/2015,2.6,-1.3,20.6,0.2
4/29/2015,1.3,-1.3,20.8,0.1
4/30/2015,0,0,20.9,0
5/1/2015,0,0,20.9,0.1
5/2/2015,0,0,21,0
5/3/2015,0,0,21,0
5/4/2015,0,0,21,0
5/5/2015,0,0,21,0.2
5/6/2015,0,0,21.2,0.2
5/7/2015,0,0,21.4,0.2
5/8/2015,0,0,21.6,0.4
5/9/2015,0,0,22,0.5
5/10/2015,0,0,22.5,0.5
5/11/2015,0,0,23,0.2
5/12/2015,0,0,23.2,0.1
5/13/2015,0,0,23.3,0
5/14/2015,0,0,23.3,0
5/15/2015,0,0,23.3,0
5/16/2015,0,0,23.3,0.2
5/17/2015,0,0,23.5,0.6
5/18/2015,0,0,24.1,0.5
5/19/2015,0,0,24.6,0.5
5/20/2015,0,0,25.1,0.1
5/21/2015,0,0,25.2,0.3
5/22/2015,0,0,25.5,0.3
5/23/2015,0,0,25.8,0.4
5/24/2015,0,0,26.2,0.3
5/25/2015,0,0,26.5,0.2
5/26/2015,0,0,26.7,0.2
5/27/2015,0,0,26.9,0.3
5/28/2015,0,0,27.2,0
5/29/2015,0,0,27.2,0
5/30/2015,0,0,27.2,0.4
5/31/2015,0,0,27.6,0
6/1/2015,0,0,27.6,0
6/2/2015,0,0,27.6,0
6/3/2015,0,0,27.6,0
6/4/2015,0,0,27.6,0
6/5/2015,0,0,27.6,0
6/6/2015,0,0,27.6,0
6/7/2015,0,0,27.6,0
6/8/2015,0,0,27.6,0
6/9/2015,0,0,27.6,0
6/10/2015,0,0,27.6,0
6/11/2015,0,0,27.6,0
6/12/2015,0,0,27.6,0.2
6/13/2015,0,0,27.8,0.1
6/14/2015,0,0,27.9,0
6/15/2015,0,0,27.9,0
6/16/2015,0,0,27.9,0
6/17/2015,0,0,27.9,0
6/18/2015,0,0,27.9,0
6/19/2015,0,0,27.9,0
6/20/2015,0,0,27.9,0
6/21/2015,0,0,27.9,0
6/22/2015,0,0,27.9,0
6/23/2015,0,0,27.9,0
6/24/2015,0,0,27.9,0
6/25/2015,0,0,27.9,0
6/26/2015,0,0,27.9,0
6/27/2015,0,0,27.9,0
6/28/2015,0,0,27.9,0
6/29/2015,0,0,27.9,0
6/30/2015,0,0,27.9,0
7/1/2015,0,0,27.9,0
7/2/2015,0,0,27.9,0
7/3/2015,0,0,27.9,0
7/4/2015,0,0,27.9,0
7/5/2015,0,0,27.9,0
7/6/2015,0,0,27.9,0.1
7/7/2015,0,0,28,0.1
7/8/2015,0,0,28.1,0.1
7/9/2015,0,0,28.2,0
7/10/2015,0,0,28.2,0
7/11/2015,0,0,28.2,0
7/12/2015,0,0,28.2,0
7/13/2015,0,0,28.2,0
7/14/2015,0,0,28.2,0
7/15/2015,0,0,28.2,0
7/16/2015,0,0,28.2,0
7/17/2015,0,0,28.2,0
7/18/2015,0,0,28.2,0
7/19/2015,0,0,28.2,0
7/20/2015,0,0,28.2,0
7/21/2015,0,0,28.2,0
7/22/2015,0,0,28.2,0
7/23/2015,0,0,28.2,0
7/24/2015,0,0,28.2,0
7/25/2015,0,0,28.2,0
7/26/2015,0,0,28.2,0
7/27/2015,0,0,28.2,0
7/28/2015,0,0,28.2,0
7/29/2015,0,0,28.2,0
7/30/2015,0,0,28.2,0
7/31/2015,0,0,28.2,0
8/1/2015,0,0,28.2,0
8/2/2015,0,0,28.2,0
8/3/2015,0,0,28.2,0
8/4/2015,0,0,28.2,0
8/5/2015,0,0,28.2,0
8/6/2015,0,0,28.2,0
8/7/2015,0,0,28.2,0
8/8/2015,0,0,28.2,0
8/9/2015,0,0,28.2,0
8/10/2015,0,0,28.2,0
8/11/2015,0,0,28.2,0
8/12/2015,0,0,28.2,0
8/13/2015,0,0,28.2,0
8/14/2015,0,0,28.2,0
8/15/2015,0,0,28.2,0
8/16/2015,0,0,28.2,0
8/17/2015,0,0,28.2,0
8/18/2015,0,0,28.2,0
8/19/2015,0,0,28.2,0
8/20/2015,0,0,28.2,0
8/21/2015,0,0,28.2,0
8/22/2015,0,0,28.2,0
8/23/2015,0,0,28.2,0
8/24/2015,0,0,28.2,0
8/25/2015,0,0,28.2,0
8/26/2015,0,0,28.2,0
8/27/2015,0,0,28.2,0.3
8/28/2015,0,0,28.5,0.3
8/29/2015,0,0,28.8,0
8/30/2015,0,0,28.8,0
8/31/2015,0,0,28.8,0
9/1/2015,0,0,28.8,0.1
9/2/2015,0,0,28.9,0
9/3/2015,0,0,28.9,0
9/4/2015,0,0,28.9,0
9/5/2015,0,0,28.9,0
9/6/2015,0,0,28.9,0
9/7/2015,0,0,28.9,0
9/8/2015,0,0,28.9,0
9/9/2015,0,0,28.9,0
9/10/2015,0,0,28.9,0
9/11/2015,0,0,28.9,0
9/12/2015,0,0,28.9,0
9/13/2015,0,0,28.9,0
9/14/2015,0,0,28.9,0
9/15/2015,0,0,28.9,0.1
9/16/2015,0,0,29,0.1
9/17/2015,0,0,29.1,0.4
9/18/2015,0,0,29.5,0.2
9/19/2015,0,0,29.7,0
9/20/2015,0,0,29.7,0
9/21/2015,0,0,29.7,0
9/22/2015,0,0,29.7,0
9/23/2015,0,0,29.7,0
9/24/2015,0,0,29.7,0
9/25/2015,0,0,29.7,0
9/26/2015,0,0,29.7,0
9/27/2015,0,0,29.7,0
9/28/2015,0,0,29.7,0
9/29/2015,0,0,29.7,0
9/30/2015,0,0,29.7,0
10/1/2015,0,0,0,0
10/2/2015,0,0,0,0
10/3/2015,0,0,0,0
10/4/2015,0,0,0,0
10/5/2015,0,0,0,0
10/6/2015,0,0,0,0
10/7/2015,0,0,0,0
10/8/2015,0,0,0,0
10/9/2015,0,0,0,0
10/10/2015,0,0,0,0
10/11/2015,0,0,0,0
10/12/2015,0,0,0,0
10/13/2015,0,0,0,0
10/14/2015,0,0,0,0
10/15/2015,0,0,0,0
10/16/2015,0,0,0,0
10/17/2015,0,0,0,0
10/18/2015,0,0,0,0
10/19/2015,0,0,0,0
10/20/2015,0,0,0,0
10/21/2015,0,0,0,0.5
10/22/2015,0,0.3,0.5,0
10/23/2015,0.3,-0.3,0.5,0
10/24/2015,0,0,0.5,0.1
10/25/2015,0,0,0.6,0.3
10/26/2015,0,0.1,0.9,0.1
10/27/2015,0.1,-0.1,1,0
10/28/2015,0,0,1,0
10/29/2015,0,0,1,0
10/30/2015,0,0,1,0.1
10/31/2015,0,0,1.1,0.1
11/1/2015,0,0,1.2,0
11/2/2015,0,0,1.2,0
11/3/2015,0,0,1.2,0
11/4/2015,0,0.2,1.2,0.2
11/5/2015,0.2,0.3,1.4,0.4
11/6/2015,0.5,0.7,1.8,0.7
11/7/2015,1.2,0.1,2.5,0.1
11/8/2015,1.3,0,2.6,0
11/9/2015,1.3,0.1,2.6,0.1
11/10/2015,1.4,0,2.7,0
11/11/2015,1.4,0.3,2.7,0.3
11/12/2015,1.7,0,3,0
11/13/2015,1.7,0,3,0
11/14/2015,1.7,0.1,3,0.1
11/15/2015,1.8,0,3.1,0
11/16/2015,1.8,0.7,3.1,0.5
11/17/2015,2.5,0,3.6,0
11/18/2015,2.5,0.3,3.6,0.3
11/19/2015,2.8,0.3,3.9,0.3
11/20/2015,3.1,0.2,4.2,0.2
11/21/2015,3.3,0.2,4.4,0.2
11/22/2015,3.5,0.1,4.6,0.1
11/23/2015,3.6,0,4.7,0
11/24/2015,3.6,0.1,4.7,0.1
11/25/2015,3.7,0,4.8,0
11/26/2015,3.7,0,4.8,0
11/27/2015,3.7,0,4.8,0
11/28/2015,3.7,0,4.8,0
11/29/2015,3.7,0,4.8,0
11/30/2015,3.7,0.1,4.8,0.1
12/1/2015,3.8,0.1,4.9,0.1
12/2/2015,3.9,0.1,5,0.1
12/3/2015,4,0,5.1,0
12/4/2015,4,0,5.1,0
12/5/2015,4,0,5.1,0
12/6/2015,4,0.1,5.1,0.1
12/7/2015,4.1,0.2,5.2,0.2
12/8/2015,4.3,0,5.4,0
12/9/2015,4.3,0,5.4,0
12/10/2015,4.3,0,5.4,0
12/11/2015,4.3,0.6,5.4,0.4
12/12/2015,4.9,0.1,5.8,0.1
12/13/2015,5,0,5.9,0.1
12/14/2015,5,0.3,6,0.2
12/15/2015,5.3,0.4,6.2,0.4
12/16/2015,5.7,0.3,6.6,0.3
12/17/2015,6,0.2,6.9,0.1
12/18/2015,6.2,0.2,7,0.3
12/19/2015,6.4,0,7.3,0.1
12/20/2015,6.4,0.3,7.4,0.1
12/21/2015,6.7,1.3,7.5,1.2
12/22/2015,8,0.9,8.7,0.8
12/23/2015,8.9,0.3,9.5,0.3
12/24/2015,9.2,0,9.8,0
12/25/2015,9.2,0.3,9.8,0.4
12/26/2015,9.5,0,10.2,0
12/27/2015,9.5,0,10.2,0
12/28/2015,9.5,0.1,10.2,0.1
12/29/2015,9.6,0,10.3,0
12/30/2015,9.6,0,10.3,0
12/31/2015,9.6,0,10.3,0
1/1/2016,9.6,0,10.3,0.1
1/2/2016,9.6,0.1,10.4,0.1
1/3/2016,9.7,0,10.5,0
1/4/2016,9.7,0,10.5,0.1
1/5/2016,9.7,0.1,10.6,0
1/6/2016,9.8,0.1,10.6,0.1
1/7/2016,9.9,0.4,10.7,0
1/8/2016,10.3,0,10.7,0.1
1/9/2016,10.3,0.1,10.8,0.1
1/10/2016,10.4,0,10.9,0
1/11/2016,10.4,0,10.9,0.1
1/12/2016,10.4,0,11,0.1
1/13/2016,10.4,0,11.1,0
1/14/2016,10.4,0.2,11.1,0.1
1/15/2016,10.6,0.3,11.2,0.2
1/16/2016,10.9,0.6,11.4,0.6
1/17/2016,11.5,0.6,12,0.7
1/18/2016,12.1,0.3,12.7,0.1
1/19/2016,12.4,0.1,12.8,0.2
1/20/2016,12.5,0.5,13,0.4
1/21/2016,13,0.1,13.4,0.2
1/22/2016,13.1,0.1,13.6,0
1/23/2016,13.2,0,13.6,0
1/24/2016,13.2,0.4,13.6,0.2
1/25/2016,13.6,0.2,13.8,0.4
1/26/2016,13.8,0,14.2,0
1/27/2016,13.8,0.2,14.2,0.1
1/28/2016,14,0,14.3,0
1/29/2016,14,0.3,14.3,0.1
1/30/2016,14.3,1.3,14.4,1.1
1/31/2016,15.6,0.1,15.5,0.2
2/1/2016,15.7,0.4,15.7,0.3
2/2/2016,16.1,0.3,16,0.2
2/3/2016,16.4,0.1,16.2,0.2
2/4/2016,16.5,0.1,16.4,0.1
2/5/2016,16.6,0.1,16.5,0.2
2/6/2016,16.7,0,16.7,0
2/7/2016,16.7,0.1,16.7,0.1
2/8/2016,16.8,0,16.8,0
2/9/2016,16.8,0,16.8,0
2/10/2016,16.8,0,16.8,0
2/11/2016,16.8,0,16.8,0
2/12/2016,16.8,0.1,16.8,0
2/13/2016,16.9,0,16.8,0
2/14/2016,16.9,0.4,16.8,0.1
2/15/2016,17.3,0.5,16.9,0.5
2/16/2016,17.8,0,17.4,0
2/17/2016,17.8,0.1,17.4,0
2/18/2016,17.9,0.4,17.4,0.3
2/19/2016,18.3,0,17.7,0.1
2/20/2016,18.3,0.1,17.8,0.1
2/21/2016,18.4,0,17.9,0
2/22/2016,18.4,0,17.9,0
2/23/2016,18.4,0,17.9,0
2/24/2016,18.4,0,17.9,0
2/25/2016,18.4,0,17.9,0
2/26/2016,18.4,0,17.9,0
2/27/2016,18.4,0,17.9,0
2/28/2016,18.4,0,17.9,0
2/29/2016,18.4,0,17.9,0.1
3/1/2016,18.4,0,18,0
3/2/2016,18.4,0.2,18,0.1
3/3/2016,18.6,0,18.1,0
3/4/2016,18.6,0,18.1,0
3/5/2016,18.6,0,18.1,0
3/6/2016,18.6,0.2,18.1,0.1
3/7/2016,18.8,0.7,18.2,0.4
3/8/2016,19.5,0.1,18.6,0.1
3/9/2016,19.6,0,18.7,0.1
3/10/2016,19.6,0.3,18.8,0.2
3/11/2016,19.9,0,19,0
3/12/2016,19.9,-0.4,19,0
3/13/2016,19.5,-0.1,19,0
3/14/2016,19.4,0.6,19,0.4
3/15/2016,20,0.3,19.4,0.3
3/16/2016,20.3,0.3,19.7,0.2
3/17/2016,20.6,1.1,19.9,1
3/18/2016,21.7,0,20.9,0.1
3/19/2016,21.7,-0.1,21,0
3/20/2016,21.6,0.3,21,0.1
3/21/2016,21.9,0.1,21.1,0
3/22/2016,22,0.6,21.1,0.4
3/23/2016,22.6,0.6,21.5,0.7
3/24/2016,23.2,0.5,22.2,0.4
3/25/2016,23.7,0.1,22.6,0.3
3/26/2016,23.8,0,22.9,0
3/27/2016,23.8,0.2,22.9,0.1
3/28/2016,24,0.1,23,0
3/29/2016,24.1,0.7,23,0.7
3/30/2016,24.8,0.5,23.7,0.4
3/31/2016,25.3,0.1,24.1,0.3
4/1/2016,25.4,0,24.4,0.1
4/2/2016,25.4,0,24.5,0
4/3/2016,25.4,-0.1,24.5,0
4/4/2016,25.3,-0.1,24.5,0
4/5/2016,25.2,0.2,24.5,0.2
4/6/2016,25.4,0,24.7,0.1
4/7/2016,25.4,-0.2,24.8,0.1
4/8/2016,25.2,-0.6,24.9,0
4/9/2016,24.6,-0.3,24.9,0
4/10/2016,24.3,-0.6,24.9,0
4/11/2016,23.7,-0.5,24.9,0
4/12/2016,23.2,-0.5,24.9,0
4/13/2016,22.7,-1,24.9,0
4/14/2016,21.7,-0.5,24.9,0.1
4/15/2016,21.2,0.6,25,0.7
4/16/2016,21.8,-0.1,25.7,0.1
4/17/2016,21.7,0,25.8,0.2
4/18/2016,21.7,0,26,0
4/19/2016,21.7,0.1,26,0.1
4/20/2016,21.8,0.2,26.1,0.2
4/21/2016,22,-0.8,26.3,0
4/22/2016,21.2,-1.5,26.3,0.1
4/23/2016,19.7,-0.8,26.4,0
4/24/2016,18.9,0.6,26.4,0.4
4/25/2016,19.5,0.4,26.8,0.4
4/26/2016,19.9,0.5,27.2,0.9
4/27/2016,20.4,0.3,28.1,0.4
4/28/2016,20.7,0.4,28.5,0.4
4/29/2016,21.1,0.5,28.9,0.3
4/30/2016,21.6,0,29.2,0.4
5/1/2016,21.6,0,29.6,0.1
5/2/2016,21.6,-0.4,29.7,0
5/3/2016,21.2,-0.7,29.7,0
5/4/2016,20.5,-1.1,29.7,0
5/5/2016,19.4,-1.4,29.7,0
5/6/2016,18,-0.8,29.7,0.1
5/7/2016,17.2,0,29.8,0.5
5/8/2016,17.2,1,30.3,0.9
5/9/2016,18.2,0.3,31.2,0.7
5/10/2016,18.5,-0.5,31.9,0.3
5/11/2016,18,-0.2,32.2,0
5/12/2016,17.8,-0.7,32.2,0.2
5/13/2016,17.1,-1.5,32.4,0
5/14/2016,15.6,-1.4,32.4,0
5/15/2016,14.2,-0.6,32.4,0.1
5/16/2016,13.6,-0.4,32.5,0.5
5/17/2016,13.2,-0.7,33,0.1
5/18/2016,12.5,-1,33.1,0.1
5/19/2016,11.5,-1.3,33.2,0
